hand_value,tookCard
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,0.777040644944575
13,0.6142319096081417
14,0.6037996265324348
15,0.5766429399106108
16,0.5660471705975498
17,0.0319843895817426
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
